id,name,type,timestamp,severity,description,source,related_assets,related_attacks
event-00063,Incident - 63,Incident,2025-08-31T07:14:00Z,low,Incident détecté: Exécution de commande suspecte.,sysmon,IT-09199,T2692
event-00064,Alerte - 64,Alerte,2025-03-18T16:51:00Z,critical,Alerte générée: Tentative de brute-force.,firewall,IT-07975,T2195
event-00065,Maintenance - 65,Maintenance,2025-04-12T13:57:00Z,high,Maintenance planifiée: Sauvegarde des données.,apache,IT-03509,
event-00066,Alerte - 66,Alerte,2025-01-05T00:21:00Z,critical,Alerte générée: Scan de port.,firewall,"IT-00438, IT-05897",T9470
event-00067,Maintenance - 67,Maintenance,2025-10-26T13:16:00Z,low,Maintenance planifiée: Mise à jour du serveur.,suricata,"IT-09043, IT-05298",
event-00068,Maintenance - 68,Maintenance,2025-02-24T07:12:00Z,low,Maintenance planifiée: Redémarrage du réseau.,apache,IT-05030,
event-00069,Alerte - 69,Alerte,2025-08-07T11:07:00Z,critical,Alerte générée: Tentative de brute-force.,sysmon,IT-06852,T7973
event-00070,Panne Système - 70,Panne Système,2025-08-17T06:22:00Z,medium,Panne système: Réseau indisponible.,sysmon,IT-08226,
event-00071,Panne Système - 71,Panne Système,2025-11-01T07:06:00Z,low,Panne système: Base de données inaccessible.,apache,IT-02706,
event-00072,Panne Système - 72,Panne Système,2025-05-19T16:58:00Z,critical,Panne système: Réseau indisponible.,suricata,IT-01248,
event-00073,Attaque Détectée - 73,Attaque Détectée,2025-09-02T22:55:00Z,critical,Attaque détectée: Exploitation de Log4Shell.,firewall,"IT-09017, IT-02907",T1101
event-00074,Alerte - 74,Alerte,2025-07-07T05:51:00Z,critical,Alerte générée: Tentative de brute-force.,sysmon,IT-04233,CVE-2021-6649
event-00075,Incident - 75,Incident,2025-09-20T15:14:00Z,high,Incident détecté: Accès non autorisé.,firewall,"IT-08616, IT-05243",CVE-2023-4076
event-00076,Maintenance - 76,Maintenance,2025-11-28T20:10:00Z,low,Maintenance planifiée: Redémarrage du réseau.,firewall,"IT-03860, IT-02766",
event-00077,Maintenance - 77,Maintenance,2025-08-14T05:40:00Z,high,Maintenance planifiée: Redémarrage du réseau.,manual,"IT-01327, IT-01381",
event-00078,Panne Système - 78,Panne Système,2025-09-06T03:19:00Z,medium,Panne système: Réseau indisponible.,apache,"IT-05339, IT-02989",
event-00079,Incident - 79,Incident,2025-06-12T02:05:00Z,high,Incident détecté: Trafic réseau anormal.,suricata,IT-02054,T8272
event-00080,Maintenance - 80,Maintenance,2025-09-21T03:56:00Z,critical,Maintenance planifiée: Mise à jour du serveur.,suricata,"IT-08364, IT-06492",
event-00081,Maintenance - 81,Maintenance,2025-02-08T14:29:00Z,high,Maintenance planifiée: Sauvegarde des données.,firewall,IT-02213,
event-00082,Alerte - 82,Alerte,2025-09-24T00:27:00Z,medium,Alerte générée: Requête SQL suspecte.,sysmon,"IT-03461, IT-03328",CVE-2023-5635
event-00083,Panne Système - 83,Panne Système,2025-07-28T21:27:00Z,low,Panne système: Base de données inaccessible.,firewall,IT-05077,
event-00084,Panne Système - 84,Panne Système,2025-08-12T20:27:00Z,critical,Panne système: Serveur hors ligne.,manual,"IT-06147, IT-01739",
event-00085,Incident - 85,Incident,2025-10-11T01:26:00Z,critical,Incident détecté: Exécution de commande suspecte.,sysmon,"IT-09107, IT-04444",T7514
event-00086,Alerte - 86,Alerte,2025-02-11T14:28:00Z,critical,Alerte générée: Scan de port.,firewall,IT-07425,CVE-2023-3302
event-00087,Attaque Détectée - 87,Attaque Détectée,2025-05-04T16:09:00Z,high,Attaque détectée: Exploitation de Log4Shell.,firewall,IT-02107,T2119
event-00088,Attaque Détectée - 88,Attaque Détectée,2025-04-03T03:29:00Z,critical,Attaque détectée: Attaque par force brute.,suricata,IT-08900,CVE-2020-5322
event-00089,Panne Système - 89,Panne Système,2025-09-24T22:15:00Z,critical,Panne système: Réseau indisponible.,firewall,IT-03841,
event-00090,Attaque Détectée - 90,Attaque Détectée,2025-12-16T21:44:00Z,critical,Attaque détectée: Attaque par force brute.,manual,"IT-06154, IT-06304",CVE-2021-6237
event-00091,Maintenance - 91,Maintenance,2025-05-29T02:12:00Z,critical,Maintenance planifiée: Redémarrage du réseau.,suricata,IT-09757,
event-00092,Alerte - 92,Alerte,2025-10-09T22:42:00Z,low,Alerte générée: Scan de port.,apache,IT-02308,T3181
event-00093,Incident - 93,Incident,2025-06-02T00:16:00Z,critical,Incident détecté: Accès non autorisé.,manual,IT-05984,CVE-2025-9062
event-00094,Maintenance - 94,Maintenance,2025-01-17T10:44:00Z,critical,Maintenance planifiée: Mise à jour du serveur.,firewall,IT-04777,
event-00095,Maintenance - 95,Maintenance,2025-02-11T02:54:00Z,low,Maintenance planifiée: Sauvegarde des données.,sysmon,IT-00538,
event-00096,Attaque Détectée - 96,Attaque Détectée,2025-11-12T10:06:00Z,critical,Attaque détectée: Tentative de ZeroLogon.,apache,"IT-09503, IT-05834",CVE-2021-2597
event-00097,Attaque Détectée - 97,Attaque Détectée,2025-01-18T19:09:00Z,high,Attaque détectée: Attaque par force brute.,suricata,"IT-07612, IT-01140",CVE-2022-4532
event-00098,Incident - 98,Incident,2025-07-24T08:34:00Z,low,Incident détecté: Trafic réseau anormal.,suricata,IT-00676,T6913
event-00099,Alerte - 99,Alerte,2025-07-01T06:53:00Z,medium,Alerte générée: Tentative de brute-force.,firewall,"IT-05765, IT-00968",CVE-2021-5267
event-00100,Alerte - 100,Alerte,2025-05-21T03:11:00Z,high,Alerte générée: Tentative de brute-force.,firewall,IT-05556,T5263
event-00101,Alerte - 101,Alerte,2025-02-17T06:05:00Z,medium,Alerte générée: Scan de port.,firewall,IT-03578,T6465
event-00102,Attaque Détectée - 102,Attaque Détectée,2025-01-18T11:48:00Z,low,Attaque détectée: Attaque par force brute.,manual,IT-08956,CVE-2023-5960
event-00103,Alerte - 103,Alerte,2025-04-28T01:43:00Z,medium,Alerte générée: Tentative de brute-force.,firewall,"IT-05110, IT-05171",CVE-2025-2288
event-00104,Maintenance - 104,Maintenance,2025-08-14T07:52:00Z,critical,Maintenance planifiée: Sauvegarde des données.,firewall,IT-05062,
event-00105,Alerte - 105,Alerte,2025-08-04T07:23:00Z,critical,Alerte générée: Requête SQL suspecte.,suricata,"IT-00271, IT-06356",CVE-2025-3471
event-00106,Panne Système - 106,Panne Système,2025-05-20T13:41:00Z,high,Panne système: Base de données inaccessible.,firewall,"IT-03368, IT-06123",
event-00107,Maintenance - 107,Maintenance,2025-12-03T12:30:00Z,low,Maintenance planifiée: Redémarrage du réseau.,suricata,"IT-03363, IT-00598",
event-00108,Panne Système - 108,Panne Système,2025-10-03T08:56:00Z,medium,Panne système: Réseau indisponible.,sysmon,IT-02718,
event-00109,Alerte - 109,Alerte,2025-12-13T13:40:00Z,critical,Alerte générée: Requête SQL suspecte.,manual,IT-01489,T5263
event-00110,Attaque Détectée - 110,Attaque Détectée,2025-12-10T23:13:00Z,critical,Attaque détectée: Tentative de ZeroLogon.,suricata,"IT-08148, IT-03555",T7483
event-00111,Alerte - 111,Alerte,2025-11-05T00:32:00Z,critical,Alerte générée: Scan de port.,firewall,IT-04487,T2712
event-00112,Maintenance - 112,Maintenance,2025-03-26T11:14:00Z,medium,Maintenance planifiée: Mise à jour du serveur.,apache,IT-09621,
event-00113,Attaque Détectée - 113,Attaque Détectée,2025-01-08T07:36:00Z,high,Attaque détectée: Tentative de ZeroLogon.,apache,"IT-05852, IT-05927",T8665
event-00114,Incident - 114,Incident,2025-03-16T04:23:00Z,critical,Incident détecté: Trafic réseau anormal.,firewall,IT-03876,T4052
event-00115,Incident - 115,Incident,2025-01-22T13:00:00Z,critical,Incident détecté: Exécution de commande suspecte.,firewall,IT-05339,CVE-2020-6812
event-00116,Attaque Détectée - 116,Attaque Détectée,2025-07-29T08:35:00Z,critical,Attaque détectée: Attaque par force brute.,suricata,IT-06290,T9199
event-00117,Maintenance - 117,Maintenance,2025-10-20T08:07:00Z,low,Maintenance planifiée: Sauvegarde des données.,suricata,IT-03093,
event-00118,Attaque Détectée - 118,Attaque Détectée,2025-07-19T02:22:00Z,critical,Attaque détectée: Tentative de ZeroLogon.,suricata,IT-01031,T4345
event-00119,Alerte - 119,Alerte,2025-09-08T20:19:00Z,high,Alerte générée: Tentative de brute-force.,firewall,IT-04923,T1995
event-00120,Incident - 120,Incident,2025-12-19T05:48:00Z,low,Incident détecté: Exécution de commande suspecte.,manual,IT-05243,T1388
event-00121,Maintenance - 121,Maintenance,2025-03-27T23:29:00Z,medium,Maintenance planifiée: Mise à jour du serveur.,suricata,"IT-01909, IT-02601",
event-00122,Panne Système - 122,Panne Système,2025-10-18T07:54:00Z,low,Panne système: Serveur hors ligne.,apache,"IT-05906, IT-06274",
event-00123,Panne Système - 123,Panne Système,2025-05-13T10:10:00Z,critical,Panne système: Base de données inaccessible.,sysmon,IT-01616,
event-00124,Incident - 124,Incident,2025-06-10T22:23:00Z,medium,Incident détecté: Exécution de commande suspecte.,manual,IT-09360,CVE-2021-4737
event-00125,Attaque Détectée - 125,Attaque Détectée,2025-06-22T11:47:00Z,medium,Attaque détectée: Attaque par force brute.,suricata,IT-03242,T5972
event-00126,Panne Système - 126,Panne Système,2025-11-06T18:38:00Z,medium,Panne système: Base de données inaccessible.,firewall,"IT-01510, IT-00835",
event-00127,Alerte - 127,Alerte,2025-07-20T09:31:00Z,low,Alerte générée: Tentative de brute-force.,apache,IT-01718,T5040
event-00128,Incident - 128,Incident,2025-09-07T23:58:00Z,low,Incident détecté: Accès non autorisé.,apache,"IT-07135, IT-02382",T7365
event-00129,Maintenance - 129,Maintenance,2025-11-24T17:57:00Z,critical,Maintenance planifiée: Redémarrage du réseau.,sysmon,IT-03889,
event-00130,Incident - 130,Incident,2025-01-02T12:44:00Z,critical,Incident détecté: Trafic réseau anormal.,sysmon,IT-05414,CVE-2020-1261
event-00131,Attaque Détectée - 131,Attaque Détectée,2025-09-11T17:47:00Z,low,Attaque détectée: Exploitation de Log4Shell.,firewall,"IT-02943, IT-02645",T7087
event-00132,Incident - 132,Incident,2025-10-04T17:25:00Z,critical,Incident détecté: Trafic réseau anormal.,firewall,IT-08076,CVE-2025-6883
event-00133,Alerte - 133,Alerte,2025-01-14T13:19:00Z,medium,Alerte générée: Scan de port.,suricata,"IT-04330, IT-05688",T7087
event-00134,Incident - 134,Incident,2025-11-23T20:06:00Z,critical,Incident détecté: Exécution de commande suspecte.,firewall,"IT-01575, IT-04220",T1388
event-00135,Incident - 135,Incident,2025-04-15T16:42:00Z,high,Incident détecté: Exécution de commande suspecte.,apache,"IT-04582, IT-01625",T8328
event-00136,Panne Système - 136,Panne Système,2025-07-25T13:50:00Z,critical,Panne système: Réseau indisponible.,sysmon,"IT-02350, IT-08473",
event-00137,Alerte - 137,Alerte,2025-02-07T05:06:00Z,high,Alerte générée: Scan de port.,suricata,IT-09504,T9499
event-00138,Panne Système - 138,Panne Système,2025-07-25T18:07:00Z,medium,Panne système: Base de données inaccessible.,sysmon,IT-06108,
event-00139,Maintenance - 139,Maintenance,2025-02-02T12:16:00Z,high,Maintenance planifiée: Sauvegarde des données.,firewall,IT-00378,
event-00140,Incident - 140,Incident,2025-08-20T23:19:00Z,low,Incident détecté: Trafic réseau anormal.,firewall,IT-01231,CVE-2020-2995
event-00141,Alerte - 141,Alerte,2025-05-18T06:15:00Z,high,Alerte générée: Tentative de brute-force.,manual,IT-05905,T7721
event-00142,Incident - 142,Incident,2025-06-03T19:20:00Z,high,Incident détecté: Trafic réseau anormal.,sysmon,"IT-02773, IT-08571",T1611
event-00143,Maintenance - 143,Maintenance,2025-05-21T18:28:00Z,high,Maintenance planifiée: Redémarrage du réseau.,sysmon,"IT-01971, IT-02581",
event-00144,Alerte - 144,Alerte,2025-06-25T10:14:00Z,low,Alerte générée: Tentative de brute-force.,firewall,"IT-02584, IT-01730",CVE-2022-7860
event-00145,Attaque Détectée - 145,Attaque Détectée,2025-03-21T05:51:00Z,critical,Attaque détectée: Attaque par force brute.,suricata,IT-07383,T3649
event-00146,Attaque Détectée - 146,Attaque Détectée,2025-11-07T07:08:00Z,low,Attaque détectée: Attaque par force brute.,firewall,IT-01796,CVE-2020-1659
event-00147,Panne Système - 147,Panne Système,2025-08-13T19:25:00Z,low,Panne système: Serveur hors ligne.,sysmon,"IT-06123, IT-09233",
event-00148,Maintenance - 148,Maintenance,2025-07-21T21:01:00Z,high,Maintenance planifiée: Redémarrage du réseau.,manual,"IT-05018, IT-04815",
event-00149,Incident - 149,Incident,2025-04-15T01:59:00Z,low,Incident détecté: Accès non autorisé.,manual,"IT-06812, IT-05223",CVE-2021-3286
event-00150,Incident - 150,Incident,2025-08-11T05:22:00Z,medium,Incident détecté: Exécution de commande suspecte.,apache,IT-04858,CVE-2022-6242
event-00151,Alerte - 151,Alerte,2025-06-10T10:32:00Z,low,Alerte générée: Tentative de brute-force.,apache,IT-05805,CVE-2020-2132
event-00152,Attaque Détectée - 152,Attaque Détectée,2025-07-23T04:11:00Z,low,Attaque détectée: Attaque par force brute.,apache,"IT-01025, IT-07987",CVE-2022-6568
event-00153,Alerte - 153,Alerte,2025-09-24T20:16:00Z,critical,Alerte générée: Requête SQL suspecte.,suricata,IT-03774,CVE-2024-6843
event-00154,Maintenance - 154,Maintenance,2025-03-15T19:35:00Z,medium,Maintenance planifiée: Sauvegarde des données.,apache,IT-04950,
event-00155,Incident - 155,Incident,2025-11-18T18:20:00Z,low,Incident détecté: Trafic réseau anormal.,firewall,IT-00132,CVE-2023-3393
event-00156,Attaque Détectée - 156,Attaque Détectée,2025-04-25T10:52:00Z,high,Attaque détectée: Tentative de ZeroLogon.,apache,IT-07281,CVE-2023-3302
event-00157,Attaque Détectée - 157,Attaque Détectée,2025-11-02T19:26:00Z,critical,Attaque détectée: Attaque par force brute.,firewall,IT-00136,T3845
event-00158,Panne Système - 158,Panne Système,2025-02-05T04:01:00Z,low,Panne système: Serveur hors ligne.,sysmon,IT-02494,
event-00159,Alerte - 159,Alerte,2025-12-12T00:42:00Z,critical,Alerte générée: Tentative de brute-force.,sysmon,IT-01831,CVE-2021-9429
event-00160,Alerte - 160,Alerte,2025-12-27T20:36:00Z,medium,Alerte générée: Tentative de brute-force.,manual,"IT-07073, IT-08056",T7385
event-00161,Alerte - 161,Alerte,2025-08-30T09:36:00Z,low,Alerte générée: Tentative de brute-force.,sysmon,"IT-09819, IT-00334",CVE-2024-1089
event-00162,Panne Système - 162,Panne Système,2025-07-03T19:21:00Z,critical,Panne système: Réseau indisponible.,manual,"IT-09526, IT-05103",
event-00163,Incident - 163,Incident,2025-03-01T19:41:00Z,high,Incident détecté: Accès non autorisé.,apache,IT-01171,CVE-2022-4176
event-00164,Maintenance - 164,Maintenance,2025-12-14T01:17:00Z,high,Maintenance planifiée: Sauvegarde des données.,apache,"IT-01447, IT-04131",
event-00165,Attaque Détectée - 165,Attaque Détectée,2025-12-06T13:03:00Z,low,Attaque détectée: Attaque par force brute.,apache,IT-06126,T8069
event-00166,Maintenance - 166,Maintenance,2025-08-05T08:56:00Z,medium,Maintenance planifiée: Sauvegarde des données.,suricata,"IT-06462, IT-02749",
event-00167,Alerte - 167,Alerte,2025-07-17T04:28:00Z,high,Alerte générée: Requête SQL suspecte.,suricata,IT-02496,T7395
event-00168,Panne Système - 168,Panne Système,2025-03-04T11:32:00Z,high,Panne système: Base de données inaccessible.,suricata,"IT-01037, IT-05123",
event-00169,Panne Système - 169,Panne Système,2025-09-08T02:45:00Z,critical,Panne système: Serveur hors ligne.,apache,"IT-07189, IT-04409",
event-00170,Attaque Détectée - 170,Attaque Détectée,2025-06-27T16:48:00Z,low,Attaque détectée: Attaque par force brute.,sysmon,"IT-09347, IT-02210",CVE-2021-5822
event-00171,Panne Système - 171,Panne Système,2025-01-17T16:42:00Z,high,Panne système: Serveur hors ligne.,apache,IT-00423,
event-00172,Incident - 172,Incident,2025-07-11T19:33:00Z,high,Incident détecté: Trafic réseau anormal.,sysmon,"IT-00188, IT-05293",T5299
event-00173,Maintenance - 173,Maintenance,2025-04-05T02:46:00Z,low,Maintenance planifiée: Sauvegarde des données.,sysmon,"IT-05376, IT-03258",
event-00174,Maintenance - 174,Maintenance,2025-11-16T08:02:00Z,critical,Maintenance planifiée: Redémarrage du réseau.,firewall,"IT-05962, IT-01613",
event-00175,Maintenance - 175,Maintenance,2025-09-19T11:00:00Z,medium,Maintenance planifiée: Mise à jour du serveur.,firewall,"IT-08942, IT-09785",
event-00176,Panne Système - 176,Panne Système,2025-12-24T16:07:00Z,medium,Panne système: Base de données inaccessible.,apache,IT-03752,
event-00177,Attaque Détectée - 177,Attaque Détectée,2025-01-06T22:10:00Z,high,Attaque détectée: Exploitation de Log4Shell.,apache,"IT-00684, IT-00540",T4938
event-00178,Incident - 178,Incident,2025-01-22T22:08:00Z,critical,Incident détecté: Exécution de commande suspecte.,firewall,"IT-02037, IT-04361",CVE-2025-9108
event-00179,Incident - 179,Incident,2025-07-29T12:04:00Z,critical,Incident détecté: Exécution de commande suspecte.,sysmon,IT-08808,T6913
event-00180,Attaque Détectée - 180,Attaque Détectée,2025-12-01T16:57:00Z,medium,Attaque détectée: Exploitation de Log4Shell.,sysmon,IT-00745,CVE-2024-2350
event-00181,Attaque Détectée - 181,Attaque Détectée,2025-10-20T16:10:00Z,low,Attaque détectée: Tentative de ZeroLogon.,apache,IT-01045,CVE-2021-2075
event-00182,Panne Système - 182,Panne Système,2025-11-03T22:26:00Z,critical,Panne système: Base de données inaccessible.,sysmon,IT-09930,
event-00183,Panne Système - 183,Panne Système,2025-01-29T14:07:00Z,critical,Panne système: Base de données inaccessible.,manual,"IT-05290, IT-04418",
event-00184,Incident - 184,Incident,2025-01-20T11:40:00Z,low,Incident détecté: Exécution de commande suspecte.,sysmon,"IT-08469, IT-02776",CVE-2023-1618
event-00185,Attaque Détectée - 185,Attaque Détectée,2025-04-01T22:27:00Z,critical,Attaque détectée: Attaque par force brute.,apache,IT-06130,T2228
event-00186,Alerte - 186,Alerte,2025-10-06T18:30:00Z,high,Alerte générée: Requête SQL suspecte.,manual,IT-04064,T7514
event-00187,Alerte - 187,Alerte,2025-02-27T12:50:00Z,low,Alerte générée: Tentative de brute-force.,sysmon,IT-09799,CVE-2020-4341
event-00188,Panne Système - 188,Panne Système,2025-08-15T13:22:00Z,low,Panne système: Réseau indisponible.,suricata,IT-00745,
event-00189,Maintenance - 189,Maintenance,2025-09-23T09:52:00Z,low,Maintenance planifiée: Redémarrage du réseau.,sysmon,IT-04245,
event-00190,Attaque Détectée - 190,Attaque Détectée,2025-05-27T00:02:00Z,low,Attaque détectée: Attaque par force brute.,apache,"IT-07591, IT-07154",CVE-2025-1983
